Month,Airline ID,Port_Country,Passengers_In,Passengers_Out,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes)
Feb-85,1572,United Arab Emirates,486.0,233.0,0.1,42.4,0.0,0.0
Feb-85,1881,Fiji,477.0,436.0,17.881,43.794,0.0,0.0
Feb-85,1881,New Zealand,2423.0,2577.0,132.63,135.327,0.0,0.0
Feb-85,1881,USA,3447.0,3297.0,234.11,162.457,0.0,0.0
Feb-85,2520,Indonesia,7535.0,5967.0,228.72,339.721,0.0,0.0
Feb-85,2987,Japan,3745.0,3587.0,106.701,132.125,0.0,0.0
Feb-85,3090,Netherlands,907.0,767.0,36.229,4.328,0.0,0.0
Feb-85,3090,Sri Lanka,426.0,205.0,1.229,9.117,0.0,0.0
Feb-85,3090,United Arab Emirates,69.0,37.0,0.98,59.967,0.0,0.0
Feb-85,3378,Malaysia,5867.0,5414.0,264.101,365.209,1.68,0.911
Feb-85,3952,Philippines,4121.0,3471.0,230.926,96.859,0.0,0.0
Feb-85,4013,Western Samoa,128.0,137.0,2.78,5.082,0.0,0.0
Feb-85,4255,Brunei,255.0,239.0,0.02,2.522,0.0,0.0
Feb-85,4435,Singapore,14983.0,11983.0,636.312,1080.949,0.0,0.0
Feb-85,4305,Mauritius,309.0,223.0,8.88,0.679,0.0,0.0
Feb-85,4305,South Africa,947.0,1050.0,37.263,21.796,0.0,0.0
Feb-85,4940,Singapore,0.0,523.0,0.0,34.717,0.0,0.0
Feb-85,4940,Thailand,5176.0,4865.0,228.295,263.979,0.0,0.0
Mar-85,751,China,402.0,142.0,2.055,14.214,0.0,0.0
Mar-85,345,New Zealand,29326.0,27703.0,1564.879,828.009,0.921,0.273
Mar-85,328,Papua New Guinea,1574.0,1677.0,15.205,116.83,0.0,0.0
Mar-85,879,Fiji,4087.0,4439.0,20.133,143.394,0.0,0.0
Mar-85,879,Solomon Islands,341.0,330.0,2.311,10.877,0.0,0.0
Mar-85,879,Vanuatu,145.0,161.0,0.576,4.266,0.0,0.0
Mar-85,524,Vanuatu,605.0,454.0,0.632,0.0,0.0,0.0
Mar-85,596,India,149.0,151.0,14.135,4.062,0.0,0.0
Mar-85,596,Italy,1141.0,1782.0,108.914,57.831,0.0,0.0
Mar-85,596,New Zealand,0.0,38.0,0.0,0.053,0.0,0.0
Mar-85,596,Singapore,473.0,567.0,8.964,130.871,0.0,0.0
Mar-85,596,Thailand,137.0,78.0,2.188,4.278,0.0,0.0
Mar-85,1355,Brunei,43.0,61.0,0.0,83.9,0.0,0.0
Mar-85,1572,Brunei,43.0,61.0,0.0,83.9,0.0,0.0
Mar-85,1355,India,247.0,241.0,2.4,2.0,0.0,0.0
Mar-85,1572,India,247.0,241.0,2.4,2.0,0.0,0.0
Mar-85,1355,Malaysia,174.0,226.0,0.7,34.3,0.0,0.0
Mar-85,1572,Malaysia,174.0,226.0,0.7,34.3,0.0,0.0
Mar-85,1355,New Zealand,2185.0,2382.0,43.0,42.9,0.0,0.0
Mar-85,1572,New Zealand,2185.0,2382.0,43.0,42.9,0.0,0.0
Mar-85,1355,Oman,413.0,445.0,1.4,76.1,0.0,0.0
Mar-85,1572,Oman,413.0,445.0,1.4,76.1,0.0,0.0
Mar-85,1355,Singapore,2260.0,2898.0,90.8,343.7,0.0,0.0
Mar-85,1572,Singapore,2260.0,2898.0,90.8,343.7,0.0,0.0
Mar-85,1355,UK,5728.0,6933.0,349.9,60.2,0.0,0.0
Mar-85,1572,UK,5728.0,6933.0,349.9,60.2,0.0,0.0
Mar-85,1355,United Arab Emirates,385.0,168.0,0.3,63.7,0.0,0.0
Mar-85,1572,United Arab Emirates,385.0,168.0,0.3,63.7,0.0,0.0
Mar-85,1881,Fiji,284.0,315.0,4.916,34.574,0.0,0.0
Mar-85,1881,New Zealand,3767.0,3404.0,124.082,215.982,0.0,0.0
Mar-85,1881,USA,3630.0,5322.0,275.021,289.812,0.0,0.0
Mar-85,2520,Indonesia,6770.0,8114.0,272.061,361.029,0.0,0.0
Mar-85,2987,Japan,3777.0,4148.0,120.607,200.048,0.0,0.0
Mar-85,3090,Germany,18.0,0.0,0.268,0.0,0.0,0.0
Mar-85,3090,Netherlands,632.0,1113.0,53.446,12.493,0.0,0.0
Mar-85,3090,Sri Lanka,304.0,327.0,1.351,6.184,0.0,0.0
Mar-85,3090,United Arab Emirates,15.0,51.0,0.293,75.893,0.0,0.0
Mar-85,3378,Malaysia,5597.0,7108.0,331.027,440.743,2.186,2.569
Mar-85,3952,Philippines,3950.0,4140.0,223.698,98.594,0.0,0.0
Mar-85,4013,Western Samoa,0.0,93.0,0.0,2.418,0.0,0.0
Mar-85,4255,Brunei,209.0,376.0,0.118,3.478,0.0,0.0
Mar-85,4435,Singapore,13246.0,16018.0,709.615,1176.885,0.0,0.0
Mar-85,4305,Mauritius,258.0,294.0,20.369,1.099,0.0,0.0
Mar-85,4305,South Africa,1125.0,1251.0,38.079,30.146,0.0,0.0
Mar-85,4940,Singapore,0.0,715.0,0.0,62.226,0.0,0.0
Mar-85,4940,Thailand,4334.0,6591.0,297.021,287.944,0.0,0.0
Apr-85,751,China,175.0,184.0,2.035,1.276,0.0,0.0
Apr-85,345,New Zealand,23388.0,20720.0,1066.855,628.597,0.7,0.168
Apr-85,328,Papua New Guinea,1908.0,1923.0,20.555,83.551,0.0,0.0
Apr-85,879,Fiji,4358.0,4609.0,16.752,127.88,0.0,0.0
Apr-85,879,Solomon Islands,442.0,507.0,1.362,13.617,0.0,0.0
Apr-85,879,Vanuatu,99.0,141.0,0.352,2.054,0.0,0.0
Apr-85,524,Vanuatu,263.0,134.0,0.548,0.0,0.0,0.0
Apr-85,596,India,69.0,76.0,7.38,1.175,0.0,0.0
Apr-85,596,Italy,1012.0,2084.0,117.134,52.366,0.0,0.0
Apr-85,596,Singapore,397.0,599.0,17.833,122.555,0.0,0.0
Apr-85,596,Thailand,74.0,126.0,5.031,14.859,0.0,0.0
Apr-85,1355,Brunei,3.0,16.0,0.0,25.7,0.0,0.0
Apr-85,1572,Brunei,3.0,16.0,0.0,25.7,0.0,0.0
Apr-85,1355,India,161.0,104.0,7.9,0.6,0.0,0.0
Apr-85,1572,India,161.0,104.0,7.9,0.6,0.0,0.0
Apr-85,1355,New Zealand,2181.0,1665.0,43.7,24.9,0.0,0.0
Apr-85,1572,New Zealand,2181.0,1665.0,43.7,24.9,0.0,0.0
Apr-85,1355,Oman,85.0,381.0,1.2,74.6,0.0,0.0
Apr-85,1572,Oman,85.0,381.0,1.2,74.6,0.0,0.0
Apr-85,1355,Singapore,1871.0,2958.0,77.0,284.6,0.0,0.0
Apr-85,1572,Singapore,1871.0,2958.0,77.0,284.6,0.0,0.0
Apr-85,1355,UK,3789.0,8163.0,298.7,88.6,0.0,0.0
Apr-85,1572,UK,3789.0,8163.0,298.7,88.6,0.0,0.0
Apr-85,1355,United Arab Emirates,274.0,215.0,0.0,65.6,0.0,0.0
Apr-85,1572,United Arab Emirates,274.0,215.0,0.0,65.6,0.0,0.0
Apr-85,1881,Fiji,515.0,743.0,11.608,40.694,0.0,0.0
Apr-85,1881,New Zealand,3123.0,2679.0,105.889,207.216,0.0,0.0
Apr-85,1881,USA,3650.0,4065.0,224.029,138.891,0.0,0.0
Apr-85,2520,Indonesia,5442.0,7885.0,205.982,285.597,0.0,0.0
Apr-85,2987,Japan,4191.0,4669.0,149.551,114.716,0.0,0.0
Apr-85,3090,Netherlands,393.0,975.0,35.23,4.506,0.0,0.0
Apr-85,3090,Sri Lanka,221.0,250.0,0.991,3.667,0.0,0.0
Apr-85,3090,United Arab Emirates,32.0,81.0,0.537,42.129,0.0,0.0
Apr-85,3378,Malaysia,5179.0,6228.0,478.244,400.068,2.013,1.003
Apr-85,3952,Philippines,3688.0,3895.0,183.982,93.688,0.0,0.0
Apr-85,4013,Western Samoa,0.0,205.0,0.0,1.045,0.0,0.0
Apr-85,4255,Brunei,248.0,218.0,0.128,3.171,0.0,0.0
Apr-85,4435,Singapore,10906.0,15758.0,690.39,923.905,0.0,0.0
Apr-85,4305,Mauritius,204.0,218.0,11.246,0.795,0.0,0.0
Apr-85,4305,South Africa,1016.0,1016.0,44.326,24.734,0.0,0.0
Apr-85,4940,Singapore,0.0,614.0,0.0,37.754,0.0,0.0
Apr-85,4940,Thailand,3604.0,5666.0,202.693,257.691,0.0,0.0
