Month,Airline,Port_Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Year,Month_num
Jan-85,Qantas Airways,Tahiti,1250,0.861,0.152,1143,34.34,0.791,1985,1
Jan-85,Qantas Airways,Thailand,1230,10.688,0.531,1119,19.026,1.606,1985,1
Jan-85,Qantas Airways,UK,9645,330.829,6.78,8058,45.408,46.93,1985,1
Jan-85,Qantas Airways,USA,13980,486.717,0.01,9486,354.375,45.246,1985,1
Jan-85,Qantas Airways,Vanuatu,832,0.533,0,430,8.258,0,1985,1
Jan-85,Qantas Airways,Yugoslavia,740,0.296,0.864,196,0.606,0.284,1985,1
Jan-85,Qantas Airways,Zimbabwe,1215,3.746,0,1164,7.66,0.269,1985,1
Jan-85,Royal Brunei Airlines,Brunei,368,0.187,0,230,1.802,0,1985,1
Jan-85,Singapore Airlines,Singapore,15441,517.573,0,13230,871.734,0,1985,1
Jan-85,South African Airways,Mauritius,223,6.866,0,161,1.525,0,1985,1
Jan-85,South African Airways,South Africa,1173,21.673,0,1186,21.029,0,1985,1
Jan-85,Thai Airways International,Singapore,0,0,0,565,31.041,0,1985,1
Jan-85,Thai Airways International,Thailand,4939,140.995,0,4223,257.548,0,1985,1
Jan-85,Union de Transports Aeriens,Bahrain,47,0,0,62,10.979,0,1985,1
Jan-85,Union de Transports Aeriens,France,497,1.285,0,351,18.694,0,1985,1
Jan-85,Union de Transports Aeriens,Indonesia,215,0.066,0,223,2.902,0,1985,1
Jan-85,Union de Transports Aeriens,New Caledonia,1300,23.934,0,1044,66.522,0,1985,1
Jan-85,Union de Transports Aeriens,Tahiti,275,14.74,0,299,3.212,0,1985,1
Jan-85,Yugoslav Airlines,Mauritius,0,0,0,29,19.512,0,1985,1
Jan-85,Yugoslav Airlines,United Arab Emirates,35,0,0,47,36.679,0,1985,1
Jan-85,Yugoslav Airlines,Yugoslavia,2248,81.564,0,1538,1.726,0,1985,1
Feb-85,Air Caledonie,New Caledonia,194,1.788,0,257,1.219,0,1985,2
Feb-85,Air China,China,955,9.427,0,1000,0.712,0,1985,2
Feb-85,Air India,India,1271,38.107,0,1043,7.712,0,1985,2
Feb-85,Air India,Singapore,411,18.117,0,239,122.574,0,1985,2
Feb-85,Air Nauru,Nauru,205,0.261,0,103,22.226,0,1985,2
Feb-85,Air New Zealand,New Zealand,21232,1265.402,0.59,20838,644.965,0.119,1985,2
Feb-85,Air Niugini,Papua New Guinea,1269,34.494,0,2000,63.945,0,1985,2
Feb-85,Air Pacific,Fiji,2139,14.023,0,1932,110.731,0,1985,2
Feb-85,Air Pacific,Solomon Islands,369,1.582,0,370,11.865,0,1985,2
Feb-85,Air Pacific,Vanuatu,121,0.273,0,156,4.842,0,1985,2
Feb-85,Air Vanuatu,Vanuatu,261,0.216,0,361,0,0,1985,2
Feb-85,Alitalia,India,305,15.35,0,143,1.261,0,1985,2
Feb-85,Alitalia,Italy,1948,107.304,0,1534,44.618,0,1985,2
Feb-85,Alitalia,Singapore,635,9.339,0,468,110.482,0,1985,2
Feb-85,Alitalia,Thailand,69,3.733,0,105,5.426,0,1985,2
Feb-85,British Airways,Brunei,130,0,0,44,12,0,1985,2
Feb-85,British Airways,India,370,1.9,0,229,1.1,0,1985,2
Feb-85,British Airways,Malaysia,321,0.6,0,282,54.9,0,1985,2
Feb-85,British Airways,New Zealand,1847,49.7,0,2071,82.4,0,1985,2
Feb-85,British Airways,Oman,415,1.2,0,282,75.4,0,1985,2
Feb-85,British Airways,Singapore,3167,72.8,0,2385,291.4,0,1985,2
Feb-85,British Airways,UK,5400,269,0,4539,61.1,0,1985,2
Feb-85,British Airways,United Arab Emirates,486,0.1,0,233,42.4,0,1985,2
